request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
57db2883-354e-4f68-bd7f-b1096d2ff73d,f48f3c83-7b8a-45e5-a0fa-74a6e92599d8,1059904.044319935,1059906.037678359,1059907.303612648,6237,41,1.9933584241662174,1.2659342889674008
e96c67d9-2358-4b45-b8e1-a859df9a2f65,162bb746-0925-436c-8c6b-25f181810fb2,1059904.04420206,1059905.548580655,1059907.919016687,2542,67,1.5043785949237645,2.370436032069847
094bca25-08e9-40a4-8d90-d6d9245e8304,6e066633-fcb0-417d-94ee-a9864bbdaa41,1059904.04436244,1059906.263032489,1059907.905003441,6876,50,2.2186700489837676,1.6419709520414472
8642796b-b995-49cb-9a3a-64f465d475cb,9728b43f-13e5-4f1c-b6d4-40db13828d76,1059904.044235044,1059905.769414835,1059908.698109271,6542,80,1.7251797909848392,2.9286944360937923
856395b5-f231-4073-a850-bee62af311e7,828db195-ca5a-4484-848e-1fc6ac242624,1059904.044407539,1059906.654525151,1059908.677823493,5781,42,2.61011761194095,2.0232983420137316
353fc1bb-db7c-4379-8093-4549dcbf9563,ada614db-0cbb-4a1b-a79a-3e2f67153f46,1059904.044401766,1059906.687964743,1059908.679968694,4620,27,2.643562976969406,1.9920039509888738
6b36f331-9cd5-4904-b599-a40929335fe1,32bb63f5-0400-4e7c-8e6c-cb23dafc8d9e,1059904.704490447,1059907.3135447009,1059909.645091785,1297,140,2.6090542539022863,2.3315470840316266
1cac4510-2a9e-48cd-a7de-144d7bd2d10e,3327e22a-e47a-4e28-ab49-61feb0f8ccd2,1059904.044364198,1059905.812467422,1059909.654349507,3686,82,1.7681032239925116,3.8418820849619806
0b16b6b0-f3f0-4f7c-9d72-514607bc0553,c8ae7276-50d3-44bc-9777-36df0eb5b9e7,1059894.831659988,1059905.5459006112,1059909.6799038842,1170,200,10.714240623172373,4.134003272978589
492bd1c6-ff73-47fb-b32a-c10b39596d73,db8b9137-24be-4133-bc23-03b4c48bff99,1059894.83183049,1059896.5843471019,1059900.547977425,7283,200,1.752516611944884,3.963630323065445
676fc6e3-9b7b-4ba7-8b8b-56c2a2123692,32379e4f-c52b-4533-87e4-7ccbc01e4871,1059904.044043825,1059905.5506570952,1059909.6847069932,2551,200,1.5066132701467723,4.134049898013473
fe09150b-b1e1-49c0-8d30-6f85fc1ef0ab,1942541f-2600-4c91-9e3f-a08bbb0dffa8,1059904.044038141,1059905.722975176,1059909.685791951,6257,200,1.6789370351471007,3.9628167748451233
748495e6-e978-4d57-aad0-006310e8e293,52901222-0bb4-47e4-8bba-8825319cf100,1059904.044151547,1059905.5491178038,1059909.681223617,3297,200,1.5049662569072098,4.132105813128874
b1033457-0355-4c66-afa8-0e816582e38b,c51e1c93-377f-4846-81a1-14e5879a721c,1059904.044048424,1059905.7244284633,1059909.6854756402,5012,195,1.6803800391498953,3.961047176970169
50019474-591d-49d9-957d-abcb15f7708d,3c65feda-6cb4-427f-8794-100421de1d7c,1059904.044153821,1059905.722622951,1059909.681610434,4565,200,1.67846913007088,3.958987483056262
b9609c28-97d5-4355-a649-02508a50c4db,4a4b9580-1d15-458e-9b7f-fe574dea6d90,1059904.044197255,1059905.55384908,1059909.6803094181,1948,200,1.5096518250647932,4.126460338011384
a34dd416-6c33-4502-ae03-ba6667bd9715,8861bb38-fa7f-46fe-a61e-d670524b80a8,1059904.044325329,1059905.825431564,1059909.6683331728,6027,200,1.7811062349937856,3.8429016089066863
90748779-4f59-4b4f-a3df-a1a95d2f68ed,64d8ea28-e569-4d18-8e95-335226687779,1059904.044242729,1059905.55068826,1059909.676735342,5656,200,1.5064455310348421,4.126047082012519
c6dd45a5-a1af-4adb-b47f-8ded04296626,b397fd3b-5c1a-4e01-ae2f-44399f92080b,1059904.044262932,1059905.551999047,1059909.6757951218,2677,200,1.5077361150179058,4.123796074884012
97f726da-21da-4edc-8eb6-5bcb6dedd89e,0fc32f2f-3791-4f05-a896-da6268fe53f9,1059904.044155824,1059905.843237262,1059909.683416998,4366,200,1.7990814379882067,3.840179736027494
65b36dad-fbfc-4838-84fc-bdeed17f2f32,80c2eab9-93f4-47c0-9f83-f790c22d62f2,1059904.044238465,1059905.5560161239,1059909.6786892149,1664,200,1.5117776589468122,4.1226730910129845
8176ddd0-06b7-4184-b11c-ffe97bac9c5a,d320f06b-a0b4-4a9d-b201-e2bc260657f4,1059904.044360416,1059906.238405372,1059909.668219224,4249,200,2.1940449560061097,3.429813852068037
bc7dfdd9-29c5-4985-a80e-f431800ef06c,7d6a4817-7b4e-4a19-bbca-ecd2b233f7dc,1059904.044327011,1059907.4953918662,1059909.670593542,5841,200,3.4510648550931364,2.1752016758546233
70789a0e-20a0-435e-a83d-c580aaf614c6,bcb9a03c-7a7d-4221-8d1f-5f52836f8b7c,1059904.044267212,1059906.2530086392,1059909.687654253,2387,200,2.2087414271663874,3.4346456138882786
7bba6801-15ba-44cb-bfbe-8d87edb7f105,fc991f32-f1b6-4afe-ba3b-a472773d0110,1059904.044317775,1059905.550682181,1059909.686393662,968,200,1.5063644060865045,4.135711480863392
6f5ad7e7-279f-44cf-b315-ea867cc6b4bd,5d0207cb-bd1b-4c3d-988b-bd7dee52f1f6,1059904.04431574,1059905.553240921,1059909.687997364,932,200,1.5089251811150461,4.134756442857906
19ccbaea-c29e-4f45-a58f-e3578eb3f470,169bfd1c-b54b-4a03-b40f-5a304abd2cb8,1059894.831744684,1059897.171836111,1059900.605102835,3959,200,2.3400914270896465,3.4332667239941657
6ce4f8f0-62e2-46fd-85ad-3df91a564dc2,a3c929d0-baa7-4945-b63f-33a6fc39fd65,1059904.044285471,1059905.723863061,1059909.700968265,3149,185,1.6795775899663568,3.9771052040159702
94a91706-5d8b-4d66-acf1-24320b099b99,992bd0d7-1cad-4413-9565-9824a102be13,1059904.044323681,1059905.7225101679,1059909.6990524079,1649,200,1.678186486940831,3.976542240008712
e1ff9934-6dea-440f-a04a-f5d89820052a,1a067fb7-ccd3-4e3a-8edd-1bc9cd091948,1059904.044013208,1059905.8797300342,1059909.7203258472,3562,200,1.8357168261427432,3.8405958130024374
09cebeb0-3938-4c2b-a949-a628b5205391,657ec69d-2850-466b-9d84-480d9f1b5621,1059904.044358476,1059905.550701294,1059909.698502389,2666,200,1.5063428180292249,4.147801094921306
fae9b7de-1e21-4b79-8d0b-7cade5aae534,773031a0-4df5-41b1-9031-e9c5d037efa1,1059904.044367927,1059905.55651036,1059909.698265374,1855,200,1.5121424330864102,4.141755013959482
3637b3af-5258-43b2-a74a-1f67bebb45e8,1326464b-c372-47f9-8850-927fd5f180aa,1059904.044397814,1059907.644865276,1059909.6961569071,3916,200,3.600467462092638,2.0512916310690343
57a3acce-c705-4431-b5a6-b2df02841592,239fe02a-0a19-4d3b-9cb8-bae3872a285f,1059904.044404119,1059907.6566584131,1059909.6950226051,3311,200,3.612254294101149,2.038364192005247
09f38c20-d488-4412-ae59-88ef38911151,14a415ae-d933-42c2-ba6d-1348294d8e80,1059894.831839374,1059898.547635651,1059900.574859589,1898,200,3.7157962769269943,2.0272239381447434
9377b60f-a36d-4deb-b5f0-5bb88dc50c7f,386b7318-3947-4df1-8dd5-2e93abdf10c2,1059894.831844344,1059898.778790809,1059900.7485559061,6490,200,3.946946464944631,1.969765097135678
ef6073fb-6694-44f9-a7e6-a4ac40a41264,601ebb0f-02ad-42e7-a626-7ebef638a847,1059904.044321961,1059907.93146709,1059909.882098468,6295,200,3.887145129032433,1.950631377985701
b514b62c-4d52-45f0-ac74-d11c31c50fd2,4181337f-4f55-4fd6-8fbd-e067aaaaebe3,1059894.831724299,1059897.549775496,1059900.8122712208,6275,200,2.7180511970072985,3.2624957249499857
6bc0c171-0881-4d6c-8abe-a672832afa79,632c53ab-a30f-443e-8a55-e9907563136d,1059904.044393331,1059906.616970373,1059909.8780888952,791,200,2.572577042039484,3.2611185221467167
bc0fea06-e425-4ef8-b2ee-f5b683479874,1cf5c436-bb75-402c-9dfd-fae7395bc0a0,1059904.044191644,1059906.026195514,1059909.897922329,573,200,1.9820038699544966,3.8717268148902804
17be6c35-6186-4b22-a578-415274ac6835,0759bb94-aa77-4047-8f94-34cc9c62436b,1059904.04414952,1059905.773143814,1059909.901376872,6394,200,1.7289942938368767,4.12823305814527
5885edf7-2955-4252-9177-67da91c7bb54,51d7aec4-2dba-42c1-8f75-3193d8c9b3b1,1059894.831737287,1059896.689323599,1059900.813997708,433,200,1.8575863118749112,4.1246741090435535
f7104010-aead-4399-898e-1fe8e525b409,929b8a4f-ae3d-429e-830a-f69897f7f505,1059904.044354916,1059905.7610860951,1059909.8863177712,5974,200,1.7167311790399253,4.125231676036492
f1a384ea-1f62-40bb-8ec8-2bfe8994397b,ba46ec63-d117-43af-a082-fdb05a1381df,1059904.044232765,1059905.774063692,1059909.899059227,1904,200,1.729830926982686,4.124995535006747
136b4ed6-d0ff-46b3-b687-dd2ce3142e66,5f1dfde8-0414-448f-b867-af9a8603ce0b,1059904.044282174,1059906.030017487,1059909.893822992,4377,200,1.9857353130355477,3.8638055049814284
16657752-cbc9-4751-903e-b709a3e128d4,584dad95-d36b-497a-92bb-3cefd7fd8072,1059904.044244798,1059905.7717211668,1059909.8976843518,6369,200,1.7274763688910753,4.125963184982538
9fbd35d8-edfd-4dc8-823c-240e9173096b,a88abdf6-3fbe-4259-bf5a-0c2a8e73f81a,1059904.044265147,1059905.7706962202,1059909.897213018,6355,200,1.7264310731552541,4.126516797812656
eb95df05-278a-4785-84f1-4dbe190b14c8,8205a582-0870-4530-86d0-ed900328ac62,1059904.044051812,1059905.784329995,1059909.9105580891,6184,199,1.740278183016926,4.126228094100952
e696161c-e0a3-4ad1-a771-7c77cac1e674,0fd4279a-26c5-4067-ab88-75febf63597d,1059904.044199732,1059905.7789142278,1059909.905551524,6201,200,1.7347144959494472,4.12663729605265
d87f5203-d9c8-4fc4-8f55-0b2541315e60,f0cbebc5-adb6-461b-9b21-22667b2f1d8c,1059904.044143676,1059906.050741939,1059909.911569758,2328,200,2.0065982630476356,3.860827818978578
7176a1f7-cba2-4c4e-9dbf-7b9a57600b8a,3d244e10-3c51-4e44-bce4-3022987dcfec,1059904.04423677,1059906.0466225669,1059909.904812129,6531,200,2.0023857969790697,3.8581895621027797
2436d82d-9259-47bd-bf30-4a73d8662ff2,1fa5ccae-f241-4f75-a21b-4d320e2b4228,1059904.044395763,1059906.692242411,1059909.894102446,6922,200,2.647846648003906,3.2018600350711495
8e3a6150-7f2f-4657-adfa-b8ac460dc0a2,6dea13ca-acc2-443b-bdac-b586c0f4fe58,1059904.044146951,1059907.3206473861,1059910.270441615,6480,200,3.2765004350803792,2.9497942288871855
1f91531c-6fda-4dbc-95de-9a46b73eb2bb,f21c3799-f3ff-498f-be2e-8982bdfe2ecd,1059904.704483116,1059907.2985733042,1059910.2442768412,918,200,2.5940901881549507,2.945703536970541
bb9fdfc7-4551-44e8-9224-ab8e6193c6a7,7e0dc3cf-f526-472a-bc5c-d24141fee908,1059904.704473313,1059907.3098947438,1059910.247462234,3891,200,2.6054214308969676,2.9375674901530147
1234c24f-9e09-4fe3-89ed-4f376abf2f8c,161e547e-4532-4d71-a764-180d08c2eb2c,1059904.704452642,1059907.313880779,1059910.2497829392,3213,200,2.609428137075156,2.935902160126716
