request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
fc10d3a9-b59b-4560-a5f6-326bbb1296e5,af106407-ea10-4304-a36e-a9f2fe57ec32,1063876.206268321,1063878.70620479,1063879.491530972,3236,59,2.49993646889925,0.7853261821437627
6df5a06d-ef28-4ee2-90b5-3744dba9ed3f,b1d48415-2679-4cdf-930c-839699995501,1063876.206328538,1063878.6524556652,1063879.4244943652,2545,29,2.4461271271575242,0.7720387000590563
8fcb6881-d14f-4078-b908-1bc97b8c93f6,a2d50e13-b70d-4fc7-ae7b-c9da9cadaf6a,1063870.655761093,1063878.4192302078,1063879.8362632329,5867,77,7.763469114899635,1.4170330250635743
625755a5-4974-452e-8955-faf76f598b64,dec5032f-5640-4adb-8120-132fbe0e8a7b,1063876.206132309,1063878.702710857,1063880.032831349,2978,85,2.4965785478707403,1.3301204920280725
74f74d2a-3084-4ce9-9caf-831a0c67735e,d3954709-3e90-4162-b807-366fedb25f30,1063876.206272322,1063878.69850362,1063880.0251663679,2663,61,2.4922312980052084,1.3266627478878945
0bafb161-94d2-4533-ac34-4f648e380b2d,9530f0c6-0a29-4251-88c5-b383e57f7761,1063876.206402423,1063878.650292716,1063880.5915705562,1652,151,2.443890292895958,1.9412778401747346
45d220d6-c8a4-43af-b4a9-f08e0684dd86,9136ede0-846b-49de-ba9b-d51df17940f6,1063870.655894159,1063873.151305012,1063875.761653278,2274,200,2.4954108528327197,2.610348266083747
74522611-c8e5-4fcc-828a-7d3768c21719,1a988c14-d0aa-42e6-93b1-f46a41f68179,1063870.655800084,1063873.29064928,1063875.890497206,6430,200,2.63484919606708,2.599847926059738
cb870665-d7ee-4c97-9251-46714f285d31,0b4cd372-bd8b-4110-ae65-321a75436596,1063870.655822504,1063873.1697221522,1063875.7710777582,2437,200,2.5138996480964124,2.6013556059915572
e104db33-467e-4925-9b60-5f1efedacf42,b3f909ce-018e-4430-b0f6-b0dfbcd17eb4,1063870.655817921,1063873.23305408,1063875.833281636,5821,200,2.5772361590061337,2.600227555958554
302cf29e-c66b-4daa-ad68-8497075e24a7,8aa6063f-9cd1-4748-bc9a-78c44fd7370a,1063877.473442322,1063880.3062135992,1063881.4432692903,1919,46,2.8327712770551443,1.1370556910987943
3c70ffd5-b104-4d34-92a0-286669b0e694,768e7329-8d72-458d-b447-38a0758c3ca0,1063876.206277619,1063878.6370778072,1063881.3811073662,634,200,2.4308001880999655,2.744029558962211
121ac393-a192-4855-a6da-ddb0bd562c1a,bea7b331-6d61-47ee-bb30-fd850a81bff3,1063876.206279373,1063878.6498982902,1063881.3808881952,2578,181,2.443618917139247,2.7309899050742388
73c1879d-cdb4-44b1-8706-8470a6c415ef,bce6251d-3800-4c24-95b5-d0897fa4e7d4,1063870.655879887,1063873.1598077728,1063876.434573636,6098,200,2.5039278857875615,3.274765863083303
6d31f4e2-a1fb-4fc7-9047-36fef6370b31,21dbf6ef-22d2-46e3-ac48-9cb8657506d9,1063870.655899367,1063873.536796801,1063876.431004747,2980,200,2.880897433962673,2.894207946024835
29eba983-e8e2-4d95-8751-1b84be17b05b,5c06298c-86e7-48f5-99ec-f360b1699941,1063870.65589669,1063873.539342781,1063876.431612995,3990,200,2.883446091087535,2.8922702139243484
96b69e24-1cd0-40ca-bf90-da5a6bee1c4d,6ee396d8-db4c-4684-88ab-113b143832cd,1063870.655820304,1063873.173795355,1063876.44264776,6166,171,2.517975050956011,3.268852405017242
a5b7595b-29d8-4b47-ad40-9b3a27a64fca,f4aff892-842b-4e98-af4c-cfd1deacf96e,1063877.473403297,1063880.317224613,1063881.979337626,2738,78,2.843821316026151,1.662113012978807
