request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
feb80ef9-ebdf-4526-9dda-49cbf6609953,bcb9a03c-7a7d-4221-8d1f-5f52836f8b7c,1068778.723871621,1068779.230841685,1068779.5996247372,2387,27,0.506970064016059,0.36878305207937956
84be7de3-a7e3-4a07-8a16-b66948537e08,1942541f-2600-4c91-9e3f-a08bbb0dffa8,1068777.861718586,1068779.170883307,1068779.9913320339,6257,32,1.3091647210530937,0.8204487268812954
dc104acb-db16-4d5e-9775-48935aef896d,169bfd1c-b54b-4a03-b40f-5a304abd2cb8,1068772.594770465,1068774.2367077162,1068774.9164484742,3959,25,1.6419372512027621,0.67974075791426
47ad4868-887f-416d-989d-1550b9579b9b,52901222-0bb4-47e4-8bba-8825319cf100,1068777.861767183,1068779.233579609,1068781.457425199,3297,200,1.37181242601946,2.2238455899059772
aff8197e-dcf8-4da5-9a6f-eb9e8818d5f7,a3c929d0-baa7-4945-b63f-33a6fc39fd65,1068779.236256984,1068779.423003914,1068781.8281122032,3149,151,0.18674693000502884,2.405108289094642
ac95cf6d-b83c-40ab-ac8a-cd43eee2db79,3c65feda-6cb4-427f-8794-100421de1d7c,1068777.861771776,1068779.389451475,1068781.82274025,4565,200,1.5276796990074217,2.433288774918765
d1e6c238-717f-4489-be71-e18b5d0e00ae,b397fd3b-5c1a-4e01-ae2f-44399f92080b,1068778.723844286,1068779.389661947,1068781.822260141,2677,200,0.6658176609780639,2.4325981938745826
474abdda-60f1-4c0e-9ca3-5298746b3afa,4a4b9580-1d15-458e-9b7f-fe574dea6d90,1068777.861802292,1068779.4010576701,1068781.821464071,1948,200,1.539255378069356,2.4204064009245485
bacd0e38-9fa3-4c4c-96f0-fc2e7de9e51f,32379e4f-c52b-4533-87e4-7ccbc01e4871,1068777.8617205,1068778.9720409191,1068781.8280619031,2551,200,1.1103204190731049,2.8560209840070456
a45217db-b426-444e-b998-7e2bcc10462c,0fc32f2f-3791-4f05-a896-da6268fe53f9,1068777.861773624,1068779.165780052,1068781.823130262,4366,200,1.3040064279921353,2.65735021000728
f21b6274-6dff-431b-8019-84fe2ef0d4c8,80c2eab9-93f4-47c0-9f83-f790c22d62f2,1068777.861838252,1068779.16124335,1068781.818669348,1664,196,1.2994050979614258,2.657425998011604
51b0bb37-fb84-4983-9ddb-c0821b42ac0d,a88abdf6-3fbe-4259-bf5a-0c2a8e73f81a,1068778.723861839,1068779.3211337659,1068781.822873176,6355,200,0.5972719269338995,2.5017394102178514
9e336322-3de5-4f06-b3ab-7d7e54c6d731,db8b9137-24be-4133-bc23-03b4c48bff99,1068777.861604676,1068779.174058777,1068782.0141263872,7283,200,1.3124541009310633,2.840067610144615
59528a38-38ba-4093-ab50-808a6c9ea293,0759bb94-aa77-4047-8f94-34cc9c62436b,1068777.861765201,1068779.409868277,1068782.0203650258,6394,200,1.548103075940162,2.610496748937294
f3c30563-bd3a-4519-bae5-7e656dace2cd,9728b43f-13e5-4f1c-b6d4-40db13828d76,1068777.861834751,1068779.629677421,1068782.015854117,6542,200,1.7678426699712873,2.386176696047187
1272bec9-5f57-4a9e-aec1-b52058dc7cbd,51d7aec4-2dba-42c1-8f75-3193d8c9b3b1,1068772.59477411,1068774.558621378,1068776.944707881,433,200,1.9638472679071128,2.386086503043771
8afc5aa3-0343-4409-b8c7-2935303788d2,6dea13ca-acc2-443b-bdac-b586c0f4fe58,1068777.861763232,1068779.1681620898,1068782.0233773438,6480,200,1.3063988578505814,2.8552152540069073
61557714-9922-40c5-8c2e-4e539598921d,5f1dfde8-0414-448f-b867-af9a8603ce0b,1068779.236239063,1068779.886893687,1068782.029120719,4377,135,0.6506546239834279,2.142227031989023
bb2b386d-96a8-4d8a-81b4-ec83152bc75b,64d8ea28-e569-4d18-8e95-335226687779,1068777.861840223,1068779.401843215,1068782.019835264,5656,200,1.5400029921438545,2.617992048850283
a25c5c06-2aec-4439-9164-ece4fafe56b9,ba46ec63-d117-43af-a082-fdb05a1381df,1068777.861832104,1068779.404770193,1068782.051849128,1904,200,1.5429380889981985,2.647078935056925
e05b54ea-6343-4c37-a629-107e8e37b51a,386b7318-3947-4df1-8dd5-2e93abdf10c2,1068777.86163001,1068779.158549547,1068782.108136123,6490,200,1.2969195370096713,2.949586576083675
309dd0c1-3743-42fa-bea4-df30ea0e1835,1cf5c436-bb75-402c-9dfd-fae7395bc0a0,1068777.861800057,1068779.23071499,1068782.12682608,573,200,1.3689149329438806,2.896111089969054
ac828545-c436-4e7c-b0fc-13fc48a681a2,1a067fb7-ccd3-4e3a-8edd-1bc9cd091948,1068777.861715312,1068779.0139436882,1068782.1746299122,3562,200,1.1522283761296421,3.1606862240005285
77efd251-1c54-414b-a8c6-7d9776d7e1c8,4181337f-4f55-4fd6-8fbd-e067aaaaebe3,1068772.59476501,1068774.358760122,1068777.112102583,6275,200,1.7639951119199395,2.753342461073771
