request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot,cached_tokens
b1d57e54-7617-4339-8d97-0861369bcde5,99f13dcb-2131-47e3-8a7f-cffcb9bd5859,23196210.335442103,23196210.698652107,23196220.3496398,2165,200,0.3632100038230419,9.650987692177296,0
752b09bb-b9cd-4156-8a0c-5dc84c50a742,cb46aeae-4a6c-4a66-9738-657073c409e1,23196210.835770767,23196211.284913618,23196221.347278327,3614,200,0.44914285093545914,10.06236470863223,0
a97a8633-fbd9-4994-9db9-2c29c2960a87,fac90a5b-dc4d-4d67-843f-c3158e25f6cb,23196211.336388975,23196211.376132965,23196221.604845494,399,200,0.03974398970603943,10.228712528944016,0
12cd622d-6521-4dff-a2b2-02eb50731a00,b6f573a1-b676-4ee4-bdae-d92316638f53,23196211.837310463,23196212.083458632,23196224.556322023,2265,200,0.24614816904067993,12.472863391041756,0
129a2844-c63f-44f8-aa4c-007bb147ab5c,8f7a3756-79ca-485f-bcc3-b2cb55f736f5,23196212.339175895,23196213.204786453,23196227.10831087,5574,200,0.865610558539629,13.903524417430162,0
fad86ba1-bd0f-46cf-9a58-31bea1ca8713,6fe8b15c-5c96-42bc-866a-3833f1555bdc,23196212.839755923,23196213.23150448,23196227.14066296,1915,200,0.391748558729887,13.90915847942233,0
30066d2d-0255-469c-97fc-61ee01594b06,17377960-41e5-4645-9ab8-820ffa3c0152,23196213.341207,23196214.28244744,23196227.92420725,6016,200,0.9412404373288155,13.641759812831879,0
0d7ef23d-b194-44a2-9862-d91acfeeabf4,eb6947a1-7cb2-4af3-a4f8-0f53e9272399,23196213.841832366,23196215.029483717,23196228.566323612,6027,200,1.187651351094246,13.53683989495039,0
a9717fbe-c719-4879-87bb-acdf5956c6d4,89ece477-c76e-4af7-896b-a28653fe746d,23196214.8435605,23196215.112960298,23196228.669296082,1093,200,0.2693997994065285,13.556335784494877,0
81c95a8d-0450-4431-9348-3d48eda0e40b,ed4fd296-2893-45e2-99ce-3eb435ee0078,23196214.34276112,23196215.456164856,23196228.97291013,5916,200,1.1134037338197231,13.516745273023844,0
a7afdca6-15cf-4c4b-80bc-ee1bd1fa1b7a,9aca1cb6-adcc-4c9f-b6dd-9bd84bbb2aef,23196215.344546515,23196215.54994361,23196229.111722503,1519,200,0.2053970955312252,13.561778891831636,0
7e325978-a002-4dbf-85fb-5d0d6ea485ba,9be1e66a-2bba-4870-89ab-abc1284d5e7e,23196215.84565785,23196216.045612834,23196230.373277426,1370,200,0.19995498284697533,14.327664591372013,0
d5df2925-fd56-44c2-a692-2298e380f26e,6ee1562c-38d4-4df5-bbd8-20acc9ee0f1f,23196216.346202627,23196217.24257822,23196232.612853073,5723,200,0.8963755927979946,15.370274852961302,0
dbb0c725-4ca5-4de4-a0b3-b2d115fa88ef,b8402f39-7004-42d7-92b9-a4d5e77034c0,23196216.8465756,23196218.026579715,23196233.288265895,5671,200,1.1800041161477566,15.26168617978692,0
131e3f6d-af3d-4ddd-9efc-a18514c05aee,938af142-6838-42cd-9870-b8ef295d3738,23196217.34839428,23196218.659273293,23196233.76786998,5961,200,1.3108790144324303,15.108596686273813,0
43a9e5b9-8d4d-42ca-90ae-491edf9e3cd0,6c2a7464-94e2-49e7-8066-6d2f718ab56f,23196217.849880505,23196219.1873214,23196234.053652875,5745,200,1.3374408930540085,14.866331476718187,0
1d5dcc17-6031-41bc-9014-9ff15061a9d0,1bdd88af-7ae3-4d2b-a604-1308ead82540,23196218.35064278,23196219.588334292,23196234.353022,4961,200,1.2376915104687214,14.764687709510326,0
b0476778-7e14-4cfe-955a-b7c569efaf0a,1a31dbf2-4c7f-460c-8bd4-613478b43434,23196219.351700038,23196219.588956837,23196234.358183913,786,200,0.23725679889321327,14.76922707632184,0
21127530-0b2e-4d80-a506-001a7d2acdef,743ed272-6253-47bb-b04d-4c0307ecbf9c,23196218.85103835,23196220.00698888,23196234.829530455,5654,200,1.155950527638197,14.822541575878859,0
130b5785-448f-4c7d-80ab-12421375380a,ea819127-c290-4913-b7cc-31cbcb8eb006,23196219.853375267,23196220.837687217,23196235.602173463,5727,200,0.9843119494616985,14.764486245810986,0
6a58e105-3b68-45a3-9a56-d0670797dea1,7e1a8224-3250-4109-8b05-2c4d8c19eccd,23196220.35391795,23196220.973276213,23196235.833728496,2956,200,0.6193582639098167,14.8604522831738,0
7e0d4397-9a66-4fe1-87bd-618ddfa00f05,b17089d8-3ce9-4f4a-aaef-b6f7b77e65b6,23196220.854416627,23196221.161969204,23196236.057249147,2050,200,0.3075525760650635,14.895279943943024,0
81822668-11ba-443c-9d41-335b4de971ae,18b4333e-8760-42ec-82ef-68cccaaa7a26,23196221.35468774,23196222.289448183,23196236.986502953,5749,200,0.9347604438662529,14.697054769843817,0
12f1d413-d963-434f-9d9d-74b50cd62611,4753241e-75f0-452a-a4f8-8438419a1805,23196221.855832554,23196222.535821885,23196237.216651537,3551,200,0.679989330470562,14.680829651653767,0
6e7c4798-4db4-4956-95aa-84795f0758f8,e6eb0569-8b3e-4247-8667-007209b8e3d0,23196222.35632247,23196223.418516226,23196237.668707084,5624,200,1.0621937550604343,14.250190857797861,0
b4928a51-c054-40cd-826d-d6bf1486d882,e466ea26-fbdf-4270-9256-40c88cec3938,23196222.857774816,23196224.17728323,23196237.86745354,5926,200,1.3195084147155285,13.69017031043768,0
c832bdb1-5e71-4487-ac62-07e2754db119,10642d2f-9868-4761-a5fc-20fe5476fe75,23196223.858748194,23196224.382645372,23196237.92980327,1562,200,0.5238971784710884,13.547157898545265,0
bbeea6ab-39cb-4f5d-9f5d-90de813642ab,ff537a68-a881-4006-bfc1-315a97fc2190,23196223.358227108,23196224.555607628,23196238.080282673,5700,200,1.1973805204033852,13.52467504516244,0
cc3a655e-a79d-4d3f-a955-dc7ed6705419,f2cae3f8-2703-4b60-a22f-cdd41e79d8df,23196224.360430073,23196225.133155856,23196238.59300005,4313,200,0.7727257832884789,13.459844194352627,0
a84a5a43-f423-4019-bae1-07725b13c2e7,5165dbdc-4b30-4e55-abe6-39f0852664fe,23196224.86132012,23196225.995185733,23196239.381892644,5785,200,1.133865613490343,13.386706911027431,0
728a21db-173a-455e-8ffb-95d76aeeee63,30ffad13-3de6-4883-badc-e5c1de569da8,23196225.36310123,23196226.554853234,23196239.915385418,5162,200,1.1917520053684711,13.360532183200121,0
7017004e-3fc8-447f-ae68-f6410999879f,b8b7d022-c1e6-4d55-9ecd-33e8b2e4683b,23196226.363987576,23196226.752451807,23196240.143197417,1145,200,0.38846423104405403,13.390745609998703,0
07455f16-f759-42c3-80cc-d2893fea7975,56412a9a-5449-4cd8-91eb-09acc2ff8011,23196226.86491861,23196226.99720411,23196240.479080796,651,200,0.13228550180792809,13.4818766862154,0
98aa655e-f613-4261-b0b4-faca6500aa60,fd6f6caf-e478-41ad-8bfd-99256f1b3872,23196225.863787584,23196227.073393352,23196240.59098286,5804,200,1.2096057683229446,13.517589509487152,0
da07a99d-15b9-48f1-9b59-a18a32b73ca5,dc62a79e-6806-4a48-b626-159dd9bfdd96,23196227.36550788,23196227.736408845,23196241.668072287,2329,200,0.3709009662270546,13.931663442403078,0
5c8a4fd8-222e-4745-8a6a-46ef639f3ec0,9283ee45-0c8a-473b-89db-fca0107c1d1d,23196228.366421442,23196228.75984648,23196242.718270585,1649,200,0.39342503622174263,13.958424106240273,0
db338293-ccc4-491e-a611-fd1ecd519ea7,3a14d686-e55e-4ebb-b85e-7c6e29ba29a4,23196227.865758833,23196228.866766103,23196242.778280497,5845,200,1.0010072700679302,13.911514393985271,0
f2acb240-7b82-4d7b-b9ff-79bcb16bdd90,a97388de-7644-4e01-89cd-71dae59673d7,23196229.36836255,23196229.68835371,23196243.293916803,1389,200,0.319991160184145,13.605563092976809,0
f5cd3abb-dd3d-41e0-9628-9922ba91bf4c,bb667e50-d303-4219-bb1f-f7eac3043a67,23196228.86809518,23196229.799676124,23196243.353302266,5899,200,0.9315809458494186,13.553626142442226,0
fb539647-9de5-4e3a-b407-41bc55982362,32d884d2-722a-490d-881b-0db072a71c1b,23196229.86852404,23196230.763011616,23196244.373240773,5290,200,0.8944875746965408,13.610229156911373,0
192d86cc-d33d-4ec5-b1ab-a7efd5433047,65269651-5398-41cd-9ecb-402080a5ef74,23196230.373350352,23196230.91587208,23196244.430502992,2823,200,0.5425217263400555,13.514630913734436,0
b15e0616-eb94-452d-914f-fa8ca0ee8e18,d279d231-0e80-4788-8742-54bc658bb153,23196230.873966973,23196231.554134935,23196244.905149285,4160,200,0.6801679618656635,13.351014349609613,0
19e0c3a1-7cba-4f34-a544-76c6566dc7db,5adb157f-4e62-4ed7-bdc2-0adfffabef64,23196231.37646944,23196232.35855222,23196245.254960265,5544,200,0.9820827804505825,12.896408043801785,0
20baa8e2-dee8-4f25-90fc-87e448c54f9a,41aaff90-5ee3-4e55-9b56-699fc65f8977,23196231.876809686,23196232.976764012,23196245.447264135,5954,200,1.0999543257057667,12.470500122755766,0
5b1bc09e-68e3-4af5-9424-72f34d04ebf0,59f2531d-e0d8-4ed6-af40-c0dfa1de7a6d,23196232.37759271,23196233.13946254,23196245.5852859,3735,200,0.7618698328733444,12.445823356509209,0
b6b577b1-a80c-4ec7-9236-da061d7223cc,1b9e7602-8c74-4f34-a4ce-6e8bd8ab3df7,23196233.37959296,23196233.685107693,23196246.16487376,1353,200,0.30551473423838615,12.479766067117453,0
e9a2b363-aaf2-4167-9f04-612a73c33442,346341d8-d430-4052-8771-73c57fc6b933,23196232.878562164,23196233.87808148,23196246.45645938,5783,200,0.9995193146169186,12.578377902507782,0
db218f68-cdcb-4efb-ab12-87d10ea86736,9ba7328d-d928-4c53-b5f7-3d3fd2701b97,23196233.879878476,23196234.522794705,23196247.227525383,4207,200,0.6429162286221981,12.704730678349733,0
30aadc0d-1c47-40c1-9099-d4d6aa0d8831,804a664e-c17f-4335-a838-bccf41db0241,23196234.38038247,23196235.05119354,23196247.898840766,4010,200,0.6708110682666302,12.847647227346897,0
98376c33-6ed0-4f05-867c-35ef6dbd75d4,9addaf80-9671-43d6-a2da-5b533c2a96d7,23196235.382205114,23196235.908607516,23196248.491960384,2315,200,0.5264024026691914,12.583352867513895,0
10c43313-52fc-4124-9989-2ed07926c847,8d8ab5b1-fd68-4bde-94e7-8a9e9d6ec870,23196234.881538063,23196235.980581593,23196248.55983964,5916,200,1.0990435294806957,12.579258047044277,0
c15451d5-ad58-490d-b895-a168075c8941,b8849d51-9e0d-4897-a06e-4d1be321ea55,23196235.88244768,23196236.253435474,23196248.68628114,2352,200,0.37098779529333115,12.432845667004585,0
8e4550bf-b964-428b-a45c-36f33e395f47,8ba6d48e-9465-4b3e-b2eb-362f1ff9bfcd,23196236.38293609,23196236.76669077,23196249.069071285,2443,200,0.3837546780705452,12.30238051712513,0
05e83421-49af-4910-afad-06607fb20aac,1e90a0a2-9648-468a-a463-61d339c1bf88,23196236.88390324,23196237.32873533,23196249.71544039,2857,200,0.44483209028840065,12.386705059558153,0
3767c8dc-e613-41c3-8198-73f40c947e45,bb49067f-468c-47a1-a7ee-55bb7ca9a19d,23196237.38476082,23196237.60441489,23196250.21488786,1342,200,0.21965407207608223,12.610472969710827,0
57db51fb-4618-4a25-846e-10d4f5690ba2,87ec88ab-20a1-46ec-8a07-ca0be5d7d088,23196237.886274375,23196238.443210185,23196251.58430052,3807,200,0.5569358095526695,13.141090337187052,0
a8984a34-ee1b-4c21-9662-398279e85e40,e6ac09af-c20e-415c-88bd-e1cbca30a058,23196238.386441834,23196239.479002096,23196252.47899345,6177,200,1.0925602614879608,12.999991353601217,0
3b87a00e-855c-4ce0-9606-66f5b5c1bbd9,38565122-8727-4b27-bb8a-b7c3f188bece,23196238.88761652,23196240.2531798,23196253.25903674,6016,200,1.3655632808804512,13.005856938660145,0
