request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
02260658-31b5-4764-b49b-ec7ce0c17a6a,0702b9da-c07d-42e2-9169-77753dd785dd,17971.396594414,17976.308142914,17977.951361271,5285,44,4.911548500000208,1.6432183569995686
6a1b742c-9900-4699-84fa-3d5b8e7328f9,c11d6802-d0ee-4c6c-bec7-507f0b2efb7d,17971.396453038,17977.048380951997,17978.500201403,1558,28,5.651927913997497,1.451820451002277
16e80ae2-eb3a-4e3a-ab2d-a10e7a9a8587,2d73d501-dfd1-4b81-b022-ad713ca179e7,17972.395978032,17976.787866538,17978.720738157,2415,41,4.3918885060011235,1.932871618999343
b09b752c-7a14-4a40-a6a7-49cdca1209cb,634a1cbf-6332-47a8-856d-2257eac7412a,17969.396199298,17976.557189605,17978.920050004,2387,43,7.160990306998428,2.3628603990000556
e4e2cbf3-7353-49fe-bee5-bee9734389f6,7da1ea4a-b831-4edd-9d86-943efdff7926,17972.395942181,17977.510035192998,17980.016181671,3682,54,5.114093011998193,2.5061464780010283
23369abd-db2d-4533-a8cc-119ae25e3eda,13bf5b8a-ecb4-4110-9e16-aed2b7a862da,17973.395723611,17977.869812475998,17980.901191572997,6179,39,4.474088864997611,3.0313790969994443
0e27bfe5-c945-4464-925c-098783245c91,e767b27a-0d8e-42da-a7a2-ab0fcafec4f8,17973.395654014,17977.124727753,17980.905065215997,6166,86,3.729073738999432,3.780337462998432
02ada0f6-f98a-4407-853c-6af44f5035a1,3184283f-253e-4a85-8c44-e9a332efb5fa,17977.704758138,17979.546463213,17980.890035735,905,26,1.8417050749994814,1.3435725220006134
547082f7-f1f8-468f-bb48-3a52e9eff278,e00eac34-aff9-481c-be39-be4b5a3747e2,17969.396191891,17977.164396825,17980.907094997998,6306,60,7.768204934000096,3.7426981729986437
961919c0-e7a4-47b1-8c56-6894ca307dc1,2f7def61-2692-4d9c-9e2f-7620cec6cbf6,17977.704769454,17979.708778805,17981.627177257,5237,24,2.004009350999695,1.9183984519986552
f1bc750a-5750-4231-8a83-bc0ba9a33cc8,d3cfd7a2-1d37-4009-b1ca-e19faf732c09,17974.489337232,17977.238974157,17981.817709606,3501,94,2.7496369250002317,4.578735448998486
93f02e4d-a562-4065-b784-6c9f9c1cebfb,8528c006-00f5-40f6-8a25-77286922ebac,17976.435756642,17978.756496771,17981.817155028,3408,45,2.3207401289982954,3.0606582569998864
f10cb3a7-8793-40ea-b371-6025cc8e7684,3aeee658-0d26-4b01-9045-17dc0a261d4c,17974.489301918,17977.851474597002,17981.819451874002,6266,61,3.3621726790006505,3.9679772769995907
1948e036-7918-42b8-ab0b-0fa2c5d2bf65,c3f99789-28f2-48b0-8ff1-92f4b8f000a0,17977.704773886,17980.143762279997,17981.799757972,6197,17,2.438988393998443,1.6559956920027616
39439d1d-059b-4a5f-b5ca-9ea88d77c735,7e26fb2e-ff9e-4c44-9abf-7453e7c69fb2,17970.396046027,17976.181405872998,17981.818325862998,4791,114,5.785359845998755,5.636919990000024
a56ea838-bfc7-48d2-afbf-7dae7e393d30,8797a59b-ae3b-4e72-b6ad-b0e2f7f7f714,17971.396427408,17976.062585428997,17981.819230907997,2363,115,4.6661580209984095,5.756645478999417
be4d1b3a-5383-4ada-8381-f33f50a0b696,7d15b216-bc39-4f34-b2b3-d676febee0a9,17973.395679904,17976.787613787998,17981.818729221,5081,98,3.3919338839987176,5.031115433001105
d4d98dbc-f68a-4a0b-a921-68ebba9b3630,d3b984f1-4463-48e3-98c8-2d606dc9acf4,17969.396220729,17976.810423271,17981.81602598,2330,109,7.414202542000567,5.005602708999504
fc333283-431e-4079-8bee-bb1f1d84d81d,8c9dbea6-0855-4030-89b7-a2ef8ffb7da3,17976.435791583,17978.712324507,17983.580525072,2417,66,2.2765329239991843,4.868200565000734
6071f8c3-45c3-4fc6-8a06-a77f8a6e4f59,3a6703e2-fefd-4334-9a5f-13832cf1a87a,17971.396458614,17976.311201810997,17983.589960317,1018,200,4.914743196997733,7.278758506003214
9a445a95-5830-48a8-a18c-6533e1c310e8,8b43bf2e-338c-4849-9dd0-aa257e300599,17973.395608156,17977.813660337,17983.591552892,2990,128,4.418052181001258,5.777892555001017
9c326ca9-5692-460c-97fe-cd83e0cb310c,4e79f1a7-f546-4b99-89f2-b8e49d5fd029,17973.395730025,17977.254952192,17983.589440421,3061,123,3.859222167000553,6.3344882290002715
7db8c0e0-f289-41eb-90a8-11d3a4a0d916,e2eae5d9-3f0a-48c1-8ea8-aeeba4de1c01,17976.435770073,17978.9367847,17983.587811431,3975,77,2.5010146269996767,4.6510267310004565
458a77d1-a2cb-4a48-aad4-5b29c2296ee7,078b06e7-ab7c-40cf-8562-23fdd95b649d,17969.396184344,17976.905225337003,17983.594580778,3296,200,7.50904099300169,6.6893554409980425
66723d55-b52c-43a0-b11d-c751c1ebe085,351e9b89-23a7-4f55-8110-66e3cb0f407f,17968.436388603,17976.748440477,17983.471043705,3774,200,8.312051873999735,6.72260322800139
84700ffd-36e5-4a29-aea1-d96f051a5737,a5074d64-e207-4809-af4d-53dc770a0eeb,17970.396048551,17976.172095673,17983.599154935,5382,200,5.7760471219989995,7.427059262001421
a005984d-8814-402a-bd26-d3e8ed573995,3836ffcd-cba1-4e98-9d70-1d259509fa9f,17973.395527569,17976.146280984998,17983.609370587998,1100,144,2.7507534159994975,7.463089602999389
7f8af0a8-05aa-427e-88f6-d7f1914d9894,e3581f64-96f8-42a5-a501-06b5a508c8d5,17971.396404328,17976.172308597,17983.612862705,5817,200,4.77590426900133,7.440554107997741
63525317-ee3b-4872-ad81-8e6c157c291e,cf7e83b7-f9d0-4896-a29d-f61d7d475896,17971.396415541,17976.203269387002,17983.612765688,1642,200,4.806853846002923,7.409496300999308
2cd425e3-dc71-44c7-a61a-b6a06ab647a5,ef97f843-6c72-43b4-a48d-f23dc6c9ce29,17971.396541263,17976.048328444,17983.610522612,5568,200,4.651787181002874,7.562194168000133
2df17acb-b3a2-4731-bb78-9b37a623cad5,f71ae2ac-6a08-4d10-b367-0c98827615d9,17974.489382505,17976.882935139998,17983.610210367995,1497,200,2.3935526349996508,6.72727522799687
eb5bac27-97fe-4626-a280-251e496fae28,583cafa2-2013-460c-b73b-122149ea64aa,17972.396101468,17976.382684645,17983.615473796,3914,200,3.986583177000284,7.2327891509994515
ed40f6cc-dd02-4466-83db-c669f1e846cf,3f3c8315-cf62-443d-9113-6b1611d32ae2,17971.396475428,17976.480887448997,17983.618478965996,6195,200,5.08441202099857,7.137591516999237
955f1e89-6058-4e9d-bf51-3102018b927f,97a7f8cd-63d8-4a98-9f4d-560204c9adde,17971.396385801,17976.06382952,17983.622790849,1747,200,4.667443719001312,7.55896132899943
5334219b-78bc-4623-a306-0ecea7096fe6,ede4ea99-6bc7-47a9-97a8-7ea6a34f7071,17972.396107431,17976.562531623997,17983.622507686,1674,200,4.1664241929975105,7.059976062002534
8aea944f-b398-45e4-9ca9-991e64655fc6,f34753d8-0a89-4fec-9956-1d303c43270d,17973.395710552,17977.102002608997,17984.668455780997,6281,200,3.706292056998791,7.566453171999456
4d718c71-1208-45c8-9534-b36fe9f496d7,57141fdc-eb30-4308-8044-b68dde5b2c65,17975.976859444,17978.395251366,17984.618159715,5197,154,2.4183919220013195,6.222908348998317
d66241dc-7861-48de-8105-f48140f89509,c1b7bd9a-b619-4cf1-be42-c209db347bd5,17977.704736188,17979.717139274,17984.665098926,3476,177,2.0124030859988125,4.947959652003192
e5d589f2-4532-47d6-b21f-1ed2d89f550e,e5970f3d-06ef-4236-94a3-bd34de05e76b,17977.704751524,17980.482138661002,17984.667655316,4244,95,2.7773871370009147,4.1855166549976275
b26ef64a-7b44-4aa9-ba18-bdeaa879766b,c8229e59-466b-435b-af35-61904961ca65,17973.395704332,17977.472536462,17984.894013271,4206,200,4.076832129998365,7.421476809002343
13e30b51-72ab-4010-8cd3-63ab3adb8d07,cdf3ae04-1fc3-4f8e-89b7-6d59f3657210,17976.435776458,17978.421703337,17984.890481656003,2117,200,1.9859268789987254,6.468778319002013
6c88f11e-8851-40ee-a7e1-e169608d5d60,855cfa0b-6ef0-46a5-98e5-c44eaa5c8887,17974.489355414,17977.50507164,17984.892455,3875,200,3.0157162260002224,7.3873833600009675
9684a87c-071b-4dc9-9694-6cb0cb886234,f69dcbd3-4c9e-47a7-a557-6f293de800ba,17968.436405033,17976.351126572998,17984.768555444,2512,200,7.914721539997117,8.417428871001903
c8061bfa-4dca-4b02-a424-192d7020b2f8,32548ebb-b1f0-4405-81d5-d6a13b29969f,17971.396330321,17977.044134806998,17984.901399120998,2843,200,5.647804485997767,7.857264313999622
b11e5653-1a9c-4593-b993-02da0d6f81b0,2f9c2aee-388c-4fb1-b8f9-85bd785f7f6d,17968.43638344,17976.746884993,17984.780868771,6233,200,8.310501553001814,8.033983777997491
13fbfaf7-b874-4771-86fb-5cae56928a5d,2a63fe5c-ad22-4030-9d20-22d7d1caa230,17971.396346061,17976.406404868998,17984.902947099,5762,200,5.0100588079985755,8.496542230001069
2d905a67-d3a5-4fd4-8aa4-31b29f40e4b9,b3863b05-f0c7-461b-ad95-6f3ce1a9914e,17976.435787272,17978.493142136,17985.157628114,4341,200,2.0573548640022636,6.664485977998993
4a6e5526-311c-4a16-931c-90135ef28bfa,1771eee0-b63d-4252-8713-975dc9e43fc6,17968.436397255,17976.182889254,17985.040652592,2278,200,7.7464919989979535,8.85776333800095
98d2a6d1-9504-4d0a-8862-0d5e97839429,699a171f-291b-4d4b-830c-48bfad8a6530,17974.489407707,17977.924153838998,17985.14688953,6180,200,3.434746131999418,7.2227356910007074
315eadbc-39ca-4f3a-aa9a-eb2adb6c8143,2d5bf3e8-3b46-449e-b045-279c9ee42c28,17973.395692834,17977.736537696,17985.167552041,2168,200,4.340844861999358,7.4310143449984025
34ca61ba-f9cf-4118-8522-f92707828116,01bd4aec-1c48-4ba4-a080-58f96f834d91,17972.395889778,17977.808171645996,17985.173600375998,4871,200,5.4122818679970806,7.36542873000144
13d20eae-311e-4ca2-a34e-137ab62b5a6c,23931b86-9628-41f9-a1ef-941e8375d2af,17969.396206199,17977.487649675997,17985.172412903998,3483,200,8.091443476998393,7.68476322800052
23443dfa-5354-4442-aa7d-495e2bdf17ad,3038e300-3c78-4b56-947c-547ec3432c25,17976.435793859,17978.494832727003,17985.165652854,5352,200,2.059038868002972,6.670820126997569
186da010-847f-4fdb-942a-ba4bf2376d33,ab49bb54-64ef-482c-9fb4-5dcf7d4f3735,17968.436387111,17977.575893866,17985.053660531,4561,200,9.139506755000184,7.477766665000672
6b7eb27e-c11c-404d-9038-d6d8c2a1b2a8,8ae66b8e-2ee7-42a8-94fa-91c5c1af4822,17976.435782745,17978.216879484,17985.169120904,2233,200,1.7810967389996222,6.952241420000064
cecbe38f-1848-4a5a-9dae-03ad2d47017b,21abce18-fee3-4e6f-b62f-d20ac406defd,17971.396363307,17977.761024959003,17985.176501813003,6425,200,6.364661652001814,7.41547685399928
c74db0ff-d487-4716-9dd5-ab7d1413d677,b983d827-0d38-4308-847f-1f3af4f8a8f4,17974.489329155,17978.515310052,17985.179776373003,7211,200,4.025980897000409,6.664466321002692
089b224a-0573-44ab-90d0-fedf791093ff,2e7c3d8e-cd99-4d6b-be7f-c3e7f99b2724,17973.395599329,17977.807455473998,17985.181773509998,6148,200,4.411856144997728,7.3743180359997496
4485602e-2ba6-4eba-a1c4-79938e9afd9d,936597a5-2836-47c8-9101-b16dcb978f36,17974.489360093,17977.122517561,17985.177004248002,1218,200,2.633157468000718,8.054486687000463
639c9aa7-16f2-4f50-a77e-c29bf4f46b2a,92c5bb60-fa3b-4201-8506-da490ee69f6d,17972.396069778,17977.343554147,17985.182326568,7199,200,4.947484369000449,7.838772421000613
3efe9196-5b19-4ea4-bfc8-adef905e4615,076b8b05-fa11-4bca-a44c-6d99be48a7d9,17972.395984092,17977.107988084,17985.182869411998,6392,200,4.712003992000973,8.07488132799699
b0513b21-dd9b-4e44-b6c5-b77c068d7d03,9a682087-2b9e-42b1-bd60-cd969c9655a0,17973.395623984,17977.256158638003,17985.18258172,5737,200,3.8605346540025494,7.9264230819972
ed98c6fa-571e-46e0-ac8f-8879457f70f1,ac7f1381-f111-4d18-8740-d17fce20aef7,17971.396500847,17976.366260461004,17985.181180694002,3976,200,4.969759614003124,8.814920232998702
e10123b4-6b74-4ade-97bf-b00155f604c7,4693a909-b4f2-426b-a04f-81bb13685c3a,17975.976888203,17977.739372595002,17985.120014105003,633,200,1.7624843920020794,7.380641510000714
9190c129-98a9-4d99-85ae-7c3d649256ab,666b6a11-1b24-43ec-a8b0-67e4c6b834cc,17971.396464128,17977.698462758002,17985.185703603,3114,200,6.301998630002345,7.487240844999178
048479a2-3acc-48aa-8308-1ec14c96405e,fcbf7757-a71d-4387-9517-a6118b505458,17973.395672582,17976.899558031997,17985.186336214996,7071,200,3.5038854499980516,8.286778182999115
7d3472de-caf3-405c-a6c7-7efb4867b69c,4bc31edd-e2f6-478d-a471-863d2d0b5f1f,17972.396118225,17976.843003797996,17985.187057002997,5937,200,4.446885572997417,8.344053205000819
f1f0afa6-585f-4565-a395-9e9ce32499d8,a719682a-293d-4421-9b2b-a670eefeced8,17968.436331749,17977.259988597998,17985.191370746998,2414,200,8.823656848999235,7.931382148999546
1466f9a5-ed16-4f93-b094-e0b927da08a1,c630c880-c2e1-4658-93cc-1b0c556d5515,17971.396546894,17976.048608957,17985.190140425002,3126,200,4.652062062999903,9.14153146800163
737d6c66-6150-4fd8-8108-30334b0b35f2,d26ad366-532a-4efa-8162-640fdbbd7d99,17972.395970778,17976.422459253,17985.194506721004,659,200,4.026488474999496,8.772047468002711
0a5ddaf1-308e-43b4-932c-7009366d4846,1892b07a-1db2-46fc-84d7-4a79e9161ec8,17970.39602991,17976.046439689002,17985.194522699003,4335,200,5.650409779002075,9.148083010000846
75178d04-f27e-42cd-80de-7985ce55dbb2,f5e31b76-8a92-457e-ba59-8ea9da966b42,17968.43639544,17976.662025942,17985.0716268,3677,200,8.225630502001877,8.409600857998157
375e9f1b-b669-4a86-b273-d78eb81ecc33,5e79a5ca-8bcd-424f-8bff-ffd216f91010,17972.395822062,17976.057999225,17985.202903163,1454,200,3.6621771629979776,9.144903938002244
e7b4b69f-b352-4249-b09e-f64b6e90699a,807c8997-0aa6-4419-b197-96c6e92c4c4e,17969.396195542,17976.910618206002,17985.200905577003,5194,200,7.514422664000449,8.290287371000886
4882f807-89aa-489d-804e-2f2d11adfb4a,a32580b8-29f7-4a11-b21b-141cd4c3cd84,17976.435798454,17978.335872369,17985.192049395,5117,200,1.9000739149996662,6.856177025998477
2f669f9c-f2bd-43c6-ad13-d481821ee510,5b316c78-99d1-4985-abd3-6e4e2a9b9b8b,17971.396556411,17976.20000031,17985.201272273,3505,200,4.803443898999831,9.001271962999454
5ab0901b-f54c-4afa-9eda-f758acf773ee,b1cb4177-f07b-4fd6-b15e-276752706e6d,17972.396044385,17977.343406276002,17985.205596076,1429,200,4.947361891001492,7.862189799998305
c9516ab7-c7e5-4197-8a06-8749543ec985,19263e45-89bd-4a00-a708-a3bf3f0e3af5,17974.489419274,17977.714410021,17985.184520485,2446,192,3.224990746999538,7.470110464000754
